Gross,IMDB_Rating,Director,Genre,Released_Year,No_of_Votes
1742348,8.1,Ingmar Bergman,Drama,1972,30206
23530892,8.1,Andrei Tarkovsky,"Drama, Mystery, Sci-Fi",1972,81021
39481,8.1,Jean-Pierre Melville,"Crime, Drama, Mystery",1967,45434
16217773,8.1,Stuart Rosenberg,"Crime, Drama",1967,161984
23530892,8.1,Ingmar Bergman,"Drama, Thriller",1966,103191
102021,8.1,Andrei Tarkovsky,"Biography, Drama, History",1966,46947
55908,8.1,Gillo Pontecorvo,"Drama, War",1966,53089
23530892,8.1,Luis Buñuel,"Drama, Fantasy",1962,29682
4050000,8.1,Robert Aldrich,"Drama, Horror, Thriller",1962,50058
23530892,8.1,Akira Kurosawa,"Action, Comedy, Crime",1962,33044
23530892,8.1,John Ford,"Drama, Western",1962,68827
23530892,8.1,Andrei Tarkovsky,"Drama, War",1962,31728
1526000,8.1,Ingmar Bergman,Drama,1960,26697
23530892,8.1,Stanley Kramer,"Biography, Drama, History",1960,27254
23530892,8.1,François Truffaut,"Crime, Drama",1959,105291
74700000,8.1,William Wyler,"Adventure, Drama, History",1959,219466
23530892,8.1,Akira Kurosawa,"Adventure, Drama",1958,34797
752045,8.1,Federico Fellini,Drama,1957,42940
23530892,8.1,Akira Kurosawa,"Drama, History",1957,46678
44908000,8.1,David Lean,"Adventure, Drama, War",1957,203463
9600000,8.1,Elia Kazan,"Crime, Drama, Thriller",1954,142107
23530892,8.1,Henri-Georges Clouzot,"Adventure, Drama, Thriller",1953,54588
3969893,8.1,Billy Wilder,"Drama, Film-Noir",1951,31568
23530892,8.1,Raoul Walsh,"Action, Crime, Drama",1949,29807
449191,8.1,Carol Reed,"Film-Noir, Mystery, Thriller",1949,158731
10900000,8.1,Michael Powell,"Drama, Music, Romance",1948,30935
203300,8.1,Ernst Lubitsch,"Comedy, Drama, Romance",1940,28450
4360000,8.1,Alfred Hitchcock,"Drama, Mystery, Romance",1940,123942
